name,date
Round 1: Sakhir - Bahrain,2024-02-29 00:00
Round 2: Jeddah - Saudi Arabia,2024-03-07 00:00
Round 3: Melbourne - Australia,2024-03-22 00:00
Round 4: Imola - Italy,2024-05-17 00:00
Round 5: Monte Carlo - Monaco,2024-05-23 00:00
Round 6: Barcelona - Spain,2024-06-21 00:00
Round 7: Spielberg - Austria,2024-06-28 00:00
Round 8: Silverstone - UK,2024-07-05 00:00
Round 9: Budapest - Hungary,2024-07-19 00:00
Round 10: Spa-Francorchamps - Belgium,2024-07-26 00:00
Round 11: Monza - Italy,2024-08-30 00:00
Round 12: Baku - Azerbaijan,2024-09-13 00:00
Round 13: Lusail - Qatar,2024-11-29 00:00
Round 14: Yas Island - United Arab Emirates,2024-12-06 00:00
