name,date
Mexico City E-Prix - Free Practice 1,2024-01-12 22:30
Mexico City E-Prix - Free Practice 2,2024-01-13 13:30
Mexico City E-Prix - Qualifying,2024-01-13 15:30
Mexico City E-Prix - Race,2024-01-13 19:00
Diriyah E-Prix I - Free Practice 1,2024-01-25 06:55
Diriyah E-Prix I - Free Practice 2,2024-01-26 01:55
Diriyah E-Prix I - Qualifying,2024-01-26 03:30
Diriyah E-Prix I - Race,2024-01-26 19:00
Diriyah E-Prix II - Free Practice 1,2024-01-27 06:55
Diriyah E-Prix II - Free Practice 2,2024-01-27 01:55
Diriyah E-Prix II - Qualifying,2024-01-27 03:30
Diriyah E-Prix II - Race,2024-01-27 19:00
Sao Paulo E-Prix - Free Practice 1,2024-03-16 10:30
Sao Paulo E-Prix - Free Practice 2,2024-03-16 13:30
Sao Paulo E-Prix - Qualifying,2024-03-16 15:30
Sao Paulo E-Prix - Race,2024-03-16 19:00
Tokyo E-Prix - Free Practice 1,2024-03-30 10:30
Tokyo E-Prix - Free Practice 2,2024-03-30 13:30
Tokyo E-Prix - Qualifying,2024-03-30 15:30
Tokyo E-Prix - Race,2024-03-30 19:00
Misano E-Prix I - Free Practice 1,2024-04-13 10:30
Misano E-Prix I - Free Practice 2,2024-04-13 13:30
Misano E-Prix I - Qualifying,2024-04-13 15:30
Misano E-Prix I - Race,2024-04-13 19:00
Misano E-Prix II - Free Practice 1,2024-04-14 10:30
Misano E-Prix II - Free Practice 2,2024-04-14 13:30
Misano E-Prix II - Qualifying,2024-04-14 15:30
Misano E-Prix II - Race,2024-04-14 19:00
Monaco E-Prix - Free Practice 1,2024-04-27 10:30
Monaco E-Prix - Free Practice 2,2024-04-27 13:30
Monaco E-Prix - Qualifying,2024-04-27 15:30
Monaco E-Prix - Race,2024-04-27 19:00
Berlin E-Prix I - Free Practice 1,2024-05-11 10:30
Berlin E-Prix I - Free Practice 2,2024-05-11 13:30
Berlin E-Prix I - Qualifying,2024-05-11 15:30
Berlin E-Prix I - Race,2024-05-11 19:00
Berlin E-Prix II - Free Practice 1,2024-05-12 10:30
Berlin E-Prix II - Free Practice 2,2024-05-12 13:30
Berlin E-Prix II - Qualifying,2024-05-12 15:30
Berlin E-Prix II - Race,2024-05-12 19:00
Shanghai E-Prix I - Free Practice 1,2024-05-25 10:30
Shanghai E-Prix I - Free Practice 2,2024-05-25 13:30
Shanghai E-Prix I - Qualifying,2024-05-25 15:30
Shanghai E-Prix I - Race,2024-05-25 19:00
Shanghai E-Prix II - Free Practice 1,2024-05-26 10:30
Shanghai E-Prix II - Free Practice 2,2024-05-26 13:30
Shanghai E-Prix II - Qualifying,2024-05-26 15:30
Shanghai E-Prix II - Race,2024-05-26 19:00
Portland E-Prix I - Free Practice 1,2024-06-29 10:30
Portland E-Prix I - Free Practice 2,2024-06-29 13:30
Portland E-Prix I - Qualifying,2024-06-29 15:30
Portland E-Prix I - Race,2024-06-29 19:00
Portland E-Prix II - Free Practice 1,2024-06-30 10:30
Portland E-Prix II - Free Practice 2,2024-06-30 13:30
Portland E-Prix II - Qualifying,2024-06-30 15:30
Portland E-Prix II - Race,2024-06-30 19:00
London E-Prix I - Free Practice 1,2024-07-20 10:30
London E-Prix I - Free Practice 2,2024-07-20 13:30
London E-Prix I - Qualifying,2024-07-20 15:30
London E-Prix I - Race,2024-07-20 19:00
London E-Prix II - Free Practice 1,2024-07-21 10:30
London E-Prix II - Free Practice 2,2024-07-21 13:30
London E-Prix II - Qualifying,2024-07-21 15:30
London E-Prix II - Race,2024-07-21 19:00
